,index,Player,Value,Year
0,655,Anthony Davis,56.29405,2020
1,547,Giannis Antetokounmpo,55.52911999999999,2020
2,1035,Russell Westbrook,54.840225,2020
3,735,James Harden,54.41621800000001,2020
4,684,Joel Embiid,53.096977,2020
5,787,LeBron James,52.45786999999999,2020
6,1009,Karl-Anthony Towns,51.51522,2020
7,798,Nikola Jokic,49.390156,2020
8,676,Andre Drummond,48.184055,2020
9,712,Paul George,47.809044,2020
10,679,Kevin Durant,46.08442,2020
11,1021,Nikola Vucevic,46.0314,2020
12,977,Ben Simmons,45.33991,2020
13,569,Bradley Beal,45.13457,2020
14,830,Kawhi Leonard,43.701965,2020
15,716,Rudy Gobert,43.655624,2020
16,778,Kyrie Irving,43.47792000000001,2020
17,590,Devin Booker,43.39254,2020
18,731,Blake Griffin,43.34163,2020
19,910,Jusuf Nurkic,42.973057,2020
20,618,Clint Capela,42.098633,2020
21,1027,John Wall,41.634773,2020
22,834,Damian Lillard,41.624893,2020
23,759,Jrue Holiday,41.462753,2020
24,653,Stephen Curry,41.405354,2020
25,554,Deandre Ayton,41.30674000000001,2020
26,671,Luka Doncic,40.934723,2020
27,883,Donovan Mitchell,40.9018,2020
28,644,DeMarcus Cousins,40.145733,2020
29,1025,Kemba Walker,40.092392,2020
30,823,Zach LaVine,39.483246,2020
31,945,Julius Randle,39.095703,2020
32,962,D'Angelo Russell,38.717873,2020
33,700,De'Aaron Fox,38.427673,2020
34,537,LaMarcus Aldridge,37.849,2020
35,1055,Trae Young,37.449104,2020
36,613,Jimmy Butler,37.297134,2020
37,664,DeMar DeRozan,37.15577,2020
38,637,John Collins,36.661057,2020
39,533,Steven Adams,36.346664,2020
40,963,Domantas Sabonis,36.19589600000001,2020
41,928,Chris Paul,36.06144000000001,2020
42,1014,Myles Turner,35.79548300000001,2020
43,855,Lauri Markkanen,35.68599000000001,2020
44,918,Victor Oladipo,35.55099000000001,2020
45,741,Tobias Harris,35.063744,2020
46,737,Montrezl Harrell,34.749653,2020
47,842,Kyle Lowry,34.40605,2020
48,641,Mike Conley,34.317226,2020
49,896,Jamal Murray,34.22567,2020
50,1038,Hassan Whiteside,34.1447,2020
51,995,Jayson Tatum,33.96209,2020
52,805,DeAndre Jordan,33.813713,2020
53,965,JaKarr Sampson,33.73998,2020
54,540,Jarrett Allen,33.494415000000004,2020
55,975,Pascal Siakam,33.417637,2020
56,875,Khris Middleton,33.31435,2020
57,718,Aaron Gordon,33.302094,2020
58,1017,Jonas Valanciunas,32.69456,2020
59,556,Marvin Bagley,32.6671,2020
60,622,Wendell Carter,32.477234,2020
61,777,Brandon Ingram,32.439182,2020
62,1005,Klay Thompson,32.37587,2020
63,626,Willie Cauley-Stein,32.18906,2020
64,1039,Andrew Wiggins,32.135746000000005,2020
65,765,Al Horford,31.683231,2020
66,841,Kevin Love,31.661753000000004,2020
67,1049,Justise Winslow,31.559875,2020
68,709,Marc Gasol,31.481846,2020
